"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 07:37:38 GMT 2024","Mon Jun 10 07:37:38 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Mon Jun 10 07:37:37 GMT 2024","Mon Jun 10 07:37:38 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Mon Jun 10 07:37:49 GMT 2024","Mon Jun 10 07:37:50 GMT 2024","688","tests","test_login","","","","test_successful_login",""
"passed","Mon Jun 10 07:37:37 GMT 2024","Mon Jun 10 07:37:37 GMT 2024","771","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Mon Jun 10 07:37:40 GMT 2024","Mon Jun 10 07:37:41 GMT 2024","668","tests","test_edit","","","","test_autocomplete",""
"passed","Mon Jun 10 07:37:42 GMT 2024","Mon Jun 10 07:37:45 GMT 2024","2493","tests","test_edit","","","","test_edit",""
"passed","Mon Jun 10 07:37:37 GMT 2024","Mon Jun 10 07:37:37 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Mon Jun 10 07:37:50 GMT 2024","Mon Jun 10 07:37:51 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"passed","Mon Jun 10 07:37:46 GMT 2024","Mon Jun 10 07:37:47 GMT 2024","1329","tests","test_email","","","","test_successful_email_sending",""
"passed","Mon Jun 10 07:37:48 GMT 2024","Mon Jun 10 07:37:49 GMT 2024","37","tests","test_home","","","","test_successful_login",""
