"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 09:49:02 GMT 2024","Sun Jun 09 09:49:04 GMT 2024","2526","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 09:49:06 GMT 2024","Sun Jun 09 09:49:06 GMT 2024","41","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 09:49:00 GMT 2024","Sun Jun 09 09:49:01 GMT 2024","678","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 09:48:57 GMT 2024","Sun Jun 09 09:48:57 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sun Jun 09 09:48:57 GMT 2024","Sun Jun 09 09:48:58 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 09 09:48:56 GMT 2024","Sun Jun 09 09:48:57 GMT 2024","845","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 09:49:08 GMT 2024","Sun Jun 09 09:49:08 GMT 2024","690","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 09:48:57 GMT 2024","Sun Jun 09 09:48:57 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 09 09:49:06 GMT 2024","Sun Jun 09 09:49:07 GMT 2024","695","tests","test_login","","","","test_successful_login",""
