"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 08:09:34 GMT 2024","Thu Jun 06 08:09:34 GMT 2024","322","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 08:09:42 GMT 2024","Thu Jun 06 08:09:43 GMT 2024","773","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 08:09:34 GMT 2024","Thu Jun 06 08:09:34 GMT 2024","23","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 08:09:48 GMT 2024","Thu Jun 06 08:09:48 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 08:09:44 GMT 2024","Thu Jun 06 08:09:47 GMT 2024","2610","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 08:09:49 GMT 2024","Thu Jun 06 08:09:49 GMT 2024","687","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 08:09:50 GMT 2024","Thu Jun 06 08:09:51 GMT 2024","687","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 08:09:34 GMT 2024","Thu Jun 06 08:09:34 GMT 2024","328","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 06 08:09:33 GMT 2024","Thu Jun 06 08:09:34 GMT 2024","734","tests.api","test_api_login","","","","test_successful_api_login",""
