"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 07:53:21 GMT 2024","Mon Jun 10 07:53:22 GMT 2024","703","tests","test_login","","","","test_successful_login",""
"passed","Mon Jun 10 07:53:10 GMT 2024","Mon Jun 10 07:53:11 GMT 2024","816","tests.api","test_api_login","","","","test_successful_api_login",""
"broken","Mon Jun 10 07:53:19 GMT 2024","Mon Jun 10 07:53:19 GMT 2024","0","tests","test_email","","","","test_successful_email_sending",""
"passed","Mon Jun 10 07:53:14 GMT 2024","Mon Jun 10 07:53:15 GMT 2024","674","tests","test_edit","","","","test_autocomplete",""
"passed","Mon Jun 10 07:53:11 GMT 2024","Mon Jun 10 07:53:11 GMT 2024","24","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Mon Jun 10 07:53:11 GMT 2024","Mon Jun 10 07:53:12 GMT 2024","308","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Mon Jun 10 07:53:16 GMT 2024","Mon Jun 10 07:53:18 GMT 2024","2564","tests","test_edit","","","","test_edit",""
"passed","Mon Jun 10 07:53:11 GMT 2024","Mon Jun 10 07:53:11 GMT 2024","332","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Mon Jun 10 07:53:20 GMT 2024","Mon Jun 10 07:53:20 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Mon Jun 10 07:53:22 GMT 2024","Mon Jun 10 07:53:23 GMT 2024","697","tests","test_login","","","","test_failed_login",""
