"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 08:41:10 GMT 2024","Mon Jun 10 08:41:10 GMT 2024","682","tests","test_login","","","","test_successful_login",""
"passed","Mon Jun 10 08:40:51 GMT 2024","Mon Jun 10 08:40:52 GMT 2024","750","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Mon Jun 10 08:41:07 GMT 2024","Mon Jun 10 08:41:08 GMT 2024","1316","tests","test_email","","","","test_successful_email_sending",""
"passed","Mon Jun 10 08:41:09 GMT 2024","Mon Jun 10 08:41:09 GMT 2024","40","tests","test_home","","","","test_successful_login",""
"passed","Mon Jun 10 08:40:52 GMT 2024","Mon Jun 10 08:40:53 GMT 2024","312","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Mon Jun 10 08:41:03 GMT 2024","Mon Jun 10 08:41:05 GMT 2024","2601","tests","test_edit","","","","test_edit",""
"passed","Mon Jun 10 08:41:00 GMT 2024","Mon Jun 10 08:41:01 GMT 2024","886","tests","test_edit","","","","test_autocomplete",""
"passed","Mon Jun 10 08:40:52 GMT 2024","Mon Jun 10 08:40:52 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Mon Jun 10 08:41:11 GMT 2024","Mon Jun 10 08:41:12 GMT 2024","680","tests","test_login","","","","test_failed_login",""
"passed","Mon Jun 10 08:40:52 GMT 2024","Mon Jun 10 08:40:52 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
