"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 07:54:09 GMT 2024","Thu Jun 06 07:54:10 GMT 2024","806","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 07:54:35 GMT 2024","Thu Jun 06 07:54:35 GMT 2024","47","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 07:54:10 GMT 2024","Thu Jun 06 07:54:10 GMT 2024","24","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 07:54:32 GMT 2024","Thu Jun 06 07:54:33 GMT 2024","992","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 07:54:37 GMT 2024","Thu Jun 06 07:54:38 GMT 2024","754","tests","test_login","","","","test_failed_login",""
"broken","Thu Jun 06 07:54:33 GMT 2024","Thu Jun 06 07:54:33 GMT 2024","0","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 07:54:10 GMT 2024","Thu Jun 06 07:54:10 GMT 2024","344","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 06 07:54:10 GMT 2024","Thu Jun 06 07:54:11 GMT 2024","309","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 07:54:35 GMT 2024","Thu Jun 06 07:54:36 GMT 2024","967","tests","test_login","","","","test_successful_login",""
