"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 07:18:21 GMT 2024","Thu Jun 06 07:18:23 GMT 2024","2500","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 07:18:16 GMT 2024","Thu Jun 06 07:18:16 GMT 2024","322","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 06 07:18:16 GMT 2024","Thu Jun 06 07:18:16 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 07:18:24 GMT 2024","Thu Jun 06 07:18:24 GMT 2024","41","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 07:18:19 GMT 2024","Thu Jun 06 07:18:19 GMT 2024","669","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 07:18:15 GMT 2024","Thu Jun 06 07:18:16 GMT 2024","734","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 07:18:26 GMT 2024","Thu Jun 06 07:18:27 GMT 2024","685","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 07:18:16 GMT 2024","Thu Jun 06 07:18:16 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 07:18:25 GMT 2024","Thu Jun 06 07:18:26 GMT 2024","687","tests","test_login","","","","test_successful_login",""
