"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 09:51:13 GMT 2024","Sun Jun 09 09:51:15 GMT 2024","2636","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 09:51:03 GMT 2024","Sun Jun 09 09:51:03 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 09 09:51:01 GMT 2024","Sun Jun 09 09:51:02 GMT 2024","765","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 09:51:20 GMT 2024","Sun Jun 09 09:51:21 GMT 2024","687","tests","test_login","","","","test_successful_login",""
"passed","Sun Jun 09 09:51:17 GMT 2024","Sun Jun 09 09:51:18 GMT 2024","1330","tests","test_email","","","","test_successful_email_sending",""
"passed","Sun Jun 09 09:51:21 GMT 2024","Sun Jun 09 09:51:22 GMT 2024","693","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 09:51:02 GMT 2024","Sun Jun 09 09:51:03 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sun Jun 09 09:51:11 GMT 2024","Sun Jun 09 09:51:11 GMT 2024","783","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 09:51:19 GMT 2024","Sun Jun 09 09:51:19 GMT 2024","43","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 09:51:02 GMT 2024","Sun Jun 09 09:51:02 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
