"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 18:33:44 GMT 2024","Wed Jun 05 18:33:44 GMT 2024","49","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 05 18:33:44 GMT 2024","Wed Jun 05 18:33:45 GMT 2024","834","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 05 18:33:41 GMT 2024","Wed Jun 05 18:33:42 GMT 2024","810","tests","test_edit","","","","test_autocomplete",""
"broken","Wed Jun 05 18:33:42 GMT 2024","Wed Jun 05 18:33:42 GMT 2024","0","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 05 18:33:46 GMT 2024","Wed Jun 05 18:33:47 GMT 2024","704","tests","test_login","","","","test_failed_login",""
