"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 08:03:57 GMT 2024","Thu Jun 06 08:03:59 GMT 2024","2482","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 08:03:55 GMT 2024","Thu Jun 06 08:03:55 GMT 2024","670","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 08:04:00 GMT 2024","Thu Jun 06 08:04:00 GMT 2024","38","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 08:04:01 GMT 2024","Thu Jun 06 08:04:02 GMT 2024","682","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 08:03:52 GMT 2024","Thu Jun 06 08:03:52 GMT 2024","301","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 08:03:51 GMT 2024","Thu Jun 06 08:03:52 GMT 2024","730","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 08:03:52 GMT 2024","Thu Jun 06 08:03:52 GMT 2024","17","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 08:04:02 GMT 2024","Thu Jun 06 08:04:03 GMT 2024","697","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 08:03:52 GMT 2024","Thu Jun 06 08:03:52 GMT 2024","312","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
