"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 08:11:46 GMT 2024","Mon Jun 10 08:11:47 GMT 2024","1333","tests","test_email","","","","test_successful_email_sending",""
"passed","Mon Jun 10 08:11:28 GMT 2024","Mon Jun 10 08:11:28 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Mon Jun 10 08:11:42 GMT 2024","Mon Jun 10 08:11:44 GMT 2024","2705","tests","test_edit","","","","test_edit",""
"passed","Mon Jun 10 08:11:50 GMT 2024","Mon Jun 10 08:11:51 GMT 2024","692","tests","test_login","","","","test_failed_login",""
"passed","Mon Jun 10 08:11:28 GMT 2024","Mon Jun 10 08:11:28 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Mon Jun 10 08:11:28 GMT 2024","Mon Jun 10 08:11:28 GMT 2024","306","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Mon Jun 10 08:11:27 GMT 2024","Mon Jun 10 08:11:28 GMT 2024","806","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Mon Jun 10 08:11:49 GMT 2024","Mon Jun 10 08:11:50 GMT 2024","695","tests","test_login","","","","test_successful_login",""
"passed","Mon Jun 10 08:11:39 GMT 2024","Mon Jun 10 08:11:40 GMT 2024","943","tests","test_edit","","","","test_autocomplete",""
"passed","Mon Jun 10 08:11:48 GMT 2024","Mon Jun 10 08:11:48 GMT 2024","45","tests","test_home","","","","test_successful_login",""
